,Benchmark,Instance #,Cluster #,mo-time
31,C1_FDA_HT_B_rsem_umap.csv,231,4,122.24721217155457
31,C1_FDA_HT_B_rsem_umap.csv,231,4,124.90447545051576
31,C1_FDA_HT_B_rsem_umap.csv,231,3,114.70417332649232
31,C1_FDA_HT_B_rsem_umap.csv,231,4,123.2721757888794
29,C1_FDA_HT_B_featureCounts_umap.csv,231,4,122.1429340839386
29,C1_FDA_HT_B_featureCounts_umap.csv,231,3,117.64788842201231
29,C1_FDA_HT_B_featureCounts_umap.csv,231,4,138.2329182624817
29,C1_FDA_HT_B_featureCounts_umap.csv,231,4,139.49466824531555
29,C1_FDA_HT_B_featureCounts_umap.csv,231,3,108.1032042503357
31,C1_FDA_HT_B_rsem_umap.csv,231,3,114.81773972511292
29,C1_FDA_HT_B_featureCounts_umap.csv,231,3,113.07521891593932
29,C1_FDA_HT_B_featureCounts_umap.csv,231,3,195.8320977687836
31,C1_FDA_HT_B_rsem_umap.csv,231,3,203.17835569381717
31,C1_FDA_HT_B_rsem_umap.csv,231,3,126.57237219810486
41,ICELL8_PE_B_featureCounts_umap.csv,547,4,210.1998693943024
41,ICELL8_PE_B_featureCounts_umap.csv,547,4,209.5545506477356
41,ICELL8_PE_B_featureCounts_umap.csv,547,4,205.22761583328247
41,ICELL8_PE_B_featureCounts_umap.csv,547,4,222.368319272995
41,ICELL8_PE_B_featureCounts_umap.csv,547,4,201.662472486496
41,ICELL8_PE_B_featureCounts_umap.csv,547,4,207.47995686531067
41,ICELL8_PE_B_featureCounts_umap.csv,547,4,263.0511984825134
41,ICELL8_PE_B_featureCounts_umap.csv,547,4,207.7231340408325
41,ICELL8_PE_B_featureCounts_umap.csv,547,4,230.71725130081177
41,ICELL8_PE_B_featureCounts_umap.csv,547,4,208.99598360061648
41,ICELL8_PE_B_featureCounts_umap.csv,547,4,263.67995262146
41,ICELL8_PE_B_featureCounts_umap.csv,547,4,203.32835865020752
41,ICELL8_PE_B_featureCounts_umap.csv,547,5,225.61797332763672
41,ICELL8_PE_B_featureCounts_umap.csv,547,4,226.7520544528961
41,ICELL8_PE_B_featureCounts_umap.csv,547,4,209.76526188850403
41,ICELL8_PE_B_featureCounts_umap.csv,547,4,208.2986037731171
41,ICELL8_PE_B_featureCounts_umap.csv,547,4,226.46901559829712
41,ICELL8_PE_B_featureCounts_umap.csv,547,4,204.25296998023987
41,ICELL8_PE_B_featureCounts_umap.csv,547,4,202.57091903686523
41,ICELL8_PE_B_featureCounts_umap.csv,547,4,222.52727222442627
41,ICELL8_PE_B_featureCounts_umap.csv,547,4,199.944929599762
41,ICELL8_PE_B_featureCounts_umap.csv,547,4,205.40299677848816
41,ICELL8_PE_B_featureCounts_umap.csv,547,4,337.26897859573364
41,ICELL8_PE_B_featureCounts_umap.csv,547,4,263.3811571598053
41,ICELL8_PE_B_featureCounts_umap.csv,547,4,231.60334849357605
41,ICELL8_PE_B_featureCounts_umap.csv,547,4,203.7158470153809
41,ICELL8_PE_B_featureCounts_umap.csv,547,4,230.4802095890045
41,ICELL8_PE_B_featureCounts_umap.csv,547,4,223.1499619483948
41,ICELL8_PE_B_featureCounts_umap.csv,547,4,209.2942373752594
